reviewId	reviewer	datePublished	starRatingOutOfFive	reviewTitle	reviewComment	source
36	Reviewer1289671318	11/06/2023	5	AED	"""The ordering of the AED was easy and the delivery was quick."""	https://americanaed.com/
37	Reviewer3258943244	11/06/2023	5	Leap of Faith	"""We knew nothing about American AED. The purchase was substantial so we were a little reluctant. Our experience removed all our concerns and we would highly recommend American AED."""	https://americanaed.com/
38	Gjrotz	11/06/2023	5	Fast speedy ICD!	"""Great service, great company, great coupon!"""	https://americanaed.com/
39	Reviewer459455955	11/05/2023	5	great service start to delivery	"""great service start to delivery!"""	https://americanaed.com/
40	Reviewer3133919671	11/04/2023	5		"""You were very prompt on shipping very much appreciated"""	https://americanaed.com/
41	Reviewer961952777	11/04/2023	2	Waiting 	"""Have not received the AED yet still waiting???"""	https://americanaed.com/
42	Reviewer2179518437	11/04/2023	1	Never got my **** 	"""NEVER RECEIVED MY **** AED"""	https://americanaed.com/
43	Reviewer3410177553	11/03/2023	5	Easy and fast	"""We ordered on a Thursday and received our unit on the following Tuesday! Amazingly fast turnaround."""	https://americanaed.com/
44	Reviewer270079500	11/03/2023	2	Slow to ship	"""I don’t understand why it takes a week before a replacement part can ship out."""	https://americanaed.com/
45	Reviewer2100671398	11/02/2023	5	Competitive Price and Professional Staff	"""Responsive staff to questions and answers provided help our 501(c)(3) non-profit in our decision to purchase via this company."""	https://americanaed.com/
46	Reviewer1428023129	11/02/2023	5	great	"""easy to order and arrived sooner than expected"""	https://americanaed.com/
47	Reviewer3767922066	11/02/2023	1	Slow delivery	"""So I received an email yesterday asking how was delivery when according to the delivery tracking, the package won't arrive for another week. The product was ordered 4 working days before it was shipped. I imagine it will eventually get here, but you may want to delay your survey email a bit and not send it before the product actually has time to be shipped and delivered."""	https://americanaed.com/
48	Reviewer516319755	11/02/2023	4	On time	"""It was fine. Came how it was expected"""	https://americanaed.com/
49	Reviewer271029378	11/01/2023	5	Fast shipping	"""Easy ordering process and fast shipping."""	https://americanaed.com/
50	Reviewer1170618539	10/31/2023	5	Excellent Service!	"""Gray Barnes was very informative in helping us to pick the right Defibrillator."""	https://americanaed.com/
51	SRBC	10/31/2023	5	Fast service	"""American AED website was easy to use and we receive our order quickly!"""	https://americanaed.com/
52	Reviewer40798710222	10/30/2023	1	I did not receive anything.	"""I did not receive anything."""	https://americanaed.com/
53	Reviewer2694306404	10/30/2023	5	VERY GOOD	"""ALL INFORMATION WAS EXCELLENT FOR PURCHASING AEDS
DELIVERY WAS ON TIME
GOOD SERVICE GREAT PRICES"""	https://americanaed.com/
54	Reviewer3210383396	10/30/2023	5	Awesome	"""The presenter was amazing. He was very thorough and drilled it and drilled it and drilled some more CAB!!"""	https://americanaed.com/
55	Reviewer2249069774	10/30/2023	5	Expert Service	"""Sales representative was expert and extremely helpful."""	https://americanaed.com/
56	Reviewer1976738672	10/30/2023	2	Late delivery 	"""Ordered this on a Sunday and website it said it would be delivered by Friday.
Friday was told it was going out at the end of the day and I get tracking. Monday I received a call from American stating that it would go out later today and I should receive in a couple days. I did tell them that my son had to use the school bus one twice and this was an emergency I was upset. I didn’t get it on the Friday like I was told. They did end up saying they would overnighted fingers crossed that I receive it tomorrow."""	https://americanaed.com/
57	Reviewer2202386962	10/29/2023	1	Horrible- never received!	"""Ironic that you’re asking me for a review when I ordered an “in stock” AED, and after telling me I’d receive tracking info it NEVER shipped.

How about my credit card refunded before you ask for a review?"""	https://americanaed.com/
58	Reviewer1330769445	10/27/2023	5	AED REVIEW	"""Easy to order, very fast shipping, excellent pricing"""	https://americanaed.com/
59	Reviewer3839204980	10/27/2023	5	AED Ordering	"""Got a quick quote with excellent pricing"""	https://americanaed.com/
60	Reviewer1765946278	10/26/2023	5	Good price and fast shipping	"""No complaints here, we had a great experience finding a product to meet our needs at a better price than other places offered it. And it came in a timely manner."""	https://americanaed.com/
61	Reviewer3431014516	10/26/2023	5	Satisfied	"""Convenient and fast service"""	https://americanaed.com/
62	Reviwer66396672	10/26/2023	3	Great Customer Service But..	"""It seems to take month's to ship."""	https://americanaed.com/
63	Reviewer1243793432	10/24/2023	5	Great service 	"""Very helpful from the person who helped me on the phone. The pads came quick and easy. Thank you"""	https://americanaed.com/
64	Reviewer4142491860	10/24/2023	1	Not Delivered	"""Items never delivered. possibly delivered to wrong address."""	https://americanaed.com/
65	don_myers	10/24/2023	5	Great Customer Service	"""One item was out of stock but the company contacted me with options at no extra charge.  We are very pleased."""	https://americanaed.com/
66	charlesb-13106	09/15/2023	1	Charge you but never ship. Dishonest communication.	"""Avoid at all costs. Very deceptive website and communication. They don't actually ship anything.

Ordered two sets of Philips AED pads. The website made it look like they would ship soon. Got confirmation emails that starts... ""We have received your order. We pride ourselves in shipping orders within 24 hours"". However, it goes on to say later that they are backed up in the warehouse and it will be 10-14 days to ship anything. I contacted customer support after 15 days. They said they hoped it would ship that day and if not it will ship next week.  Zero communication about status. They also fully charged and settled my card 15 days ago rather than reauthorizing when shipping."""	https://americanaed.com/
67	donnie-94105	07/17/2023	5	The company is great, but this is about the product	"""For people that don’t know, read this!
Do not buy the Phillips Heartstart  in less your suicidal because to activate the defibrillator, you have to use it on yourself but somebody needs to be there to restart the process,( only if if the start up process went wrong)so I’m not sure which kid to try and activate this damn thing but anyhow, my defibrillator still is not activated and I’m out of pads because I can’t find anyone crazy enough to go through the sequence.

I need to start a return or shipped it back for activation, because I can’t find anyone in Oklahoma."""	https://americanaed.com/
68	timothy-90412	04/27/2023	5	AED Sales	"""Basil was very informative and easy to work with.  We are very satisfied with the experience."""	https://americanaed.com/
69	TensePigeon-34297	04/10/2023	5	The BEST service	"""The importance of AED's in buildings are crucial in the steps taken in life saving procedures. American AED (Grey Barnes) understand that. The follow up was immediate, questions answered within the day and took the time to listen. Grey was very knowledgeable and was able to provide me the best fit for our agency. I hope to never have to use these AED's but I feel incredibly confident that our agency has the best possible tools if ever needed. Thank you American AED for quick response (AED joke here)!"""	https://americanaed.com/
70	MushyHorse-74591	04/06/2023	5	AED in a pinch	"""We needed to get a replacement AED, ASAP!  My sales rep Gray was knowledgable and very helpful.  The unit arrived in just a few days and makes us feel safe again to have a working AED.  This unit is easy to use and was at the right price too."""	https://americanaed.com/
71	FoolishDinosaur-44124	04/06/2023	5	Great Service! 	"""Gray w/American AED has been very helpful on a getting us a part we have been struggling to keep in stock. He will contact me every time he received some and would get our order to us ASAP. 100% would recommend to anyone."""	https://americanaed.com/
72	AnxiousPanther-34020	03/27/2023	5	Wonderful!	"""Great experience with American AED!"""	https://americanaed.com/
73	BaraNikcuf	03/21/2023	1	An absolute joke of a company.	"""My first clue for the pending dog and pony show should’ve been the notice on their website saying 10-14 days till shipping.
Nobody is that busy !
I ordered a refurbished AED on 2/8/23.
Four weeks later it hadn’t shipped despite their promises. Thankfully I had paid with PayPal and finally got a refund on 3/21/23 while they had the use of my money for a month and a half. Don’t waste your time with this circus."""	https://americanaed.com/
74	gary_king-75286	03/20/2023	5	Ordering and Setup Was Great!	"""Ordering and the prompt fill of the order were outstanding.  The setup was easy and informative.  I noted that I was at a multi-state track meet a day ago, and the same AED was on the wall at the very large indoor track facility (Virginia Beach Sports Center).

Of course, I have not used the device yet.  Hopefully, I will never be able to comment on this part."""	https://americanaed.com/
75	GiftedMarlin-26024	03/18/2023	5	Thanks Jenny	"""I was searching for an AED for our HOA as recommended by a local Fire Department.  I had some trouble getting through until I got Jenny on the phone and she was quick, responsive and I had my information in minutes.  We are awaiting the arrival of the unit."""	https://americanaed.com/
76	DistinctSheep-5877	03/17/2023	5	Great Personalized Service	"""Not quite knowing what type of AED I wanted for our small country church, my sales rep, Jenny Vega, not only walked me through every step of the process, but made a recommendation for a Zoll AED Plus. We were so impressed with it we purchased a second unit immediately after seeing and evaluating the first unit. She als made sure all of our questions and needs were met. I would highly recommend American AED to anyone looking into, and especially purchasing, AED's and accessories."""	https://americanaed.com/
77	ejnolan	03/08/2023	4	All's well that ends well.	"""I ordered a Re Certified Defibtech with a video screen.  Their site said that they had 2 in stock,
They said it would be shipped within 48 to 72 Hours. 
After a month the AED had not arrived.
After several attempts at contact I heard back from Melanie in Customer service. 
I learned that while the AED was in stock, the new batteries were back ordered.
Melanie found some more expensive Aircraft Batteries, shipped the unit and it arrived about a week later in ""Like New"" condition. 
Despite some communication Issues, I am now satisfied with the purchase, having saved some $700 off the cost of a ""brand new unit.""
I look forward to seeing it operate for training purposes."""	https://americanaed.com/
78	peter-94372	06/22/2022	2	poor customer service	"""ordered AED pads nearly a month ago, have yet to receive anything and company is not returning any of my emails.  If this is on back order, I would expect to receive notification of some sort.   I do not recommend American AED."""	https://americanaed.com/
79	cklatzco	01/20/2022	5	Great price and speedy delivery	"""This is a quality product, the staff is  knowledgeable  and helpful in choosing the right one"""	https://americanaed.com/
80	jeanie_anthony	01/12/2022	5	Excellent	"""They have the best prices I could find and very fast delivery.   Would recommend for sure."""	https://americanaed.com/
81	EnchantingCrow-14691	01/12/2022	5	AED purchase	"""Product was received quickly and was correct.  The process was easily conducted and the one concern with tax exemption was handled promptly and satisfactorily."""	https://americanaed.com/
82	AmericadTechnology	01/12/2022	5	Excellent Customer Service	"""I had to purchase 2 AED's for our company.  Very helpful in advising on what units would work best for us.  They arrived in a timely manner.  The customer service is excellent and replies promptly to all inquiries that have been made."""	https://americanaed.com/
83	ComfortableSquirrel-71681	01/12/2022	5	Nothing Better Than a Life Saving Tool	"""The AED and accessories were delivered promptly. It is the same one that we are already familiar with in our volunteer department. Now we have the confidence that we are keeping our customers safe while at our transfer station. Thank You!"""	https://americanaed.com/
84	EasyKangaroo-19223	01/12/2022	5	Extremely polite and helpful CS	"""The customer service was polite and patient. I received guidance with my purchase options after explaining what I needed, and the recommendation actually turned out to not only be a better fit but it also cost less. 

I recommend American AED based on my purchase experience ."""	https://americanaed.com/
85	PreciousSwan-88095	01/12/2022	5	Service, Quality and a Fair Price	"""Product was easy to order, what was delivered was as was described, a quality product and a price that could not be beat."""	https://americanaed.com/
86	CleverAntelope-61204	01/12/2022	5	Great product 	"""Fits great love the mask will buy more"""	https://americanaed.com/
87	pault-94248	01/12/2022	2	Wouldn't recommend.	"""Wouldn't recommend product."""	https://americanaed.com/
88	OutstandingGrasshopper-647647	01/12/2022	5	HAPPY BUYER	"""We needed 13 AEDs for our schools. They were very responsive. They did a price match and beat the Red Cross' price. Their staff are very professional. When a mistake was made, they quickly corrected it and made it right. THANK YOU!!!"""	https://americanaed.com/
89	KindPartridge-46802	01/12/2022	2	Bad communication	"""Ordered 2 AED's never delivered,had to call and find out they were backordered.  Still do not have product, but credit card was charged in full"""	https://americanaed.com/
90	Keren315	01/12/2022	5	Great Service	"""When I ordered an AED from American AED, my order arrived on time and the AED functioned properly."""	https://americanaed.com/
91	FriendlyIguana-61848	01/06/2022	1	Lack of communication-No attention to customer 	"""I saw that the specific item I needed was on back order, but I did not get confirmation on that item, or projected time when it would be due. None of that is on their website. And another part of the order was (is) in stock and  could have been put in envelope and mailed. But not done. Poor customer communication."""	https://americanaed.com/
92	SplendidPython-1538	12/08/2021	5	Love it! 	"""Very fast delivery! Thank you :)"""	https://americanaed.com/
93	PaulGooding	12/07/2021	5	Wonderful Service	"""The young Lady I dealt with was extremely knowledgeable and guided me through the process to order exactly what i needed.  She got me a $300.00 Discount .  She was ver yliterate on the competitor's products.  Awesome experience..."""	https://americanaed.com/
94	BetterGazelle-83427	12/06/2021	5	Great Fast service.	"""Good product with fast service."""	https://americanaed.com/
95	DelightfulScorpion-27255	12/06/2021	5	Church AED	"""Appears to be exactly what our church needed.  Order process was great and shipped quickly."""	https://americanaed.com/
96	SpotlessOtter-84247	12/05/2021	2	Great site - slow delivery	"""The site was very easy to use. It's likely not American AEDs fault at all, but I am still waiting for my order to arrive."""	https://americanaed.com/
97	HilariousParrot-62223	12/04/2021	4	Looks like it works 	"""Won’t know until we try but it came with all parts!"""	https://americanaed.com/
98	CuteOx-63006	12/03/2021	1	Did American AED deliver?	"""Since it hasn't delivered yet, there's not much to review."""	https://americanaed.com/
99	PuzzledAlligator-47057	11/30/2021	2	Slow delivery	"""This item still has not shipped, why would I be reviewing this purchase?"""	https://americanaed.com/
100	Ron-in-The-Villages	11/29/2021	5	Pre-purchase and purchase interaction	"""My wife and I both interacted with Karen K. prior to and completing the purchase of 2 AED Plus machines.  One each for our summer & winter residences.  She was patient and wonderful to deal with!"""	https://americanaed.com/
101	CalmTiger-17161	11/25/2021	4	AED for church	"""Everything came very quickly.  The only reason for not rating 5 stars is there were no instructions for how to mount the cabinet, nor how to store everything inside."""	https://americanaed.com/
102	PlainCrane-46140	11/24/2021	5	Aed 1000 refurbished 	"""Fast and friendly helpful service"""	https://americanaed.com/
103	ClearPiranha-93189	11/24/2021	4	Great Experience	"""Website was user friendly and the product chosen was shipped quickly. I recommend American AED for your safety needs."""	https://americanaed.com/
104	CourageousAlpaca-882	11/24/2021	3	Uncertainty	"""I ordered AED all in one pads, adult and pediatric ones.  When I ordered, no mention of back order on pediatric pads and no email after ordering.  I found out when adult pad delivered, a note stating pediatric on back order! My order never reflected the back order nor did the live chat representative I spoke to prior to ordering and my credit card has already been charged for both with a maybe January delivery!  Better communication, only charge credit cards for what has been received, and no surprises should occur…I am unsure when I will receive what I have been charged for, and worry about not receiving the AED pads in time.."""	https://americanaed.com/
105	DistinctChipmunk-97065	11/19/2021	5	excellent experience	"""Product arrived within 3 days. They have a You Tube video that shows how to set up and use the machine.  They take care of the physician requirement and send to you in 2 days.  Excellent company."""	https://americanaed.com/
106	ComfortableMarlin-66105	11/18/2021	5	SAVE A LIFE	"""HIGHLY RECOMMEND THIS COMPANY AND ESPECIALLY DEALING WITH JEFF.  GAVE US THE INFO NEEDED TO MAKE A GOOD DECISION, DELIVERD THE UNITS FASTER THAN A SPEEDING BULLET!"""	https://americanaed.com/
107	FamousOrca-91810	11/16/2021	5	Review	"""What a great experience dealing with this company!"""	https://americanaed.com/
108	DizzyOpossum-53640	11/15/2021	5	Amazing company!	"""Arrived as expected.  Fast delivery!"""	https://americanaed.com/
109	mgingerich22	11/12/2021	5	Excellent service	"""Product arrived quickly, was packaged securely and was in perfect condition upon arrival."""	https://americanaed.com/
110	TameTortoise-48766	11/11/2021	5	customer service as great	"""Customer service provided by Jennifer was excellent."""	https://americanaed.com/
111	CalmBee-52083	11/10/2021	5	Great service	"""When I searched for an AED, their sales staff were very helpful, sharing information and videos in an effort to help me with my selection.  Once I made a purchase, the AED was shipped and received in a matter of a few days.  My experience with them was very positive."""	https://americanaed.com/
112	CharmingBee-90024	11/09/2021	4	Product is what we ordered. 	"""Everything was good with our order except the infant pads. The website indicated they are in stock and received a piece of paper with no timeline for when they will be in stock and delivered."""	https://americanaed.com/
113	TrevorMcDowell	11/08/2021	5	Very Pleased with the service provided!	"""There's lots of lengthy lead times in this business, especially these days. But here I was able to get an AED delivered to my jobsite in just a few days! I also greatly appreciate the resources and additional info that came with the AED! Thank you!"""	https://americanaed.com/
114	stoked1956	11/08/2021	5	A fabulous experience. 	"""The associate was very helpful, and polite, great knowledge of the device, and walked us through the shut down process etc."""	https://americanaed.com/
115	AmandaCollier	11/07/2021	5	Above expectations!	"""We got our AED and supplies and it is great. It included everything, plus some. Perfect for our office and to have in our community."""	https://americanaed.com/
116	LightAntelope-46593	11/05/2021	5	Great Service	"""They were such a pleasure to deal with.  I called to verified they had item in stock. Person answered promptly and was quick to answer my question.  Product shipped same day.  Great company."""	https://americanaed.com/
117	rajivhuria	11/05/2021	5	We received both AEDs	"""We received both our AEDs in time and as promised. Both AEDs were shipped in good packaging and arrived without damage. All accessories were included and were also undamaged. Both AEDs are functioning and have been deployed."""	https://americanaed.com/
118	ImportantFerret-49198	11/03/2021	5	Quick and Easy 	"""The entire transaction was easy and shipping was super quick."""	https://americanaed.com/
119	Mushroom2021	11/02/2021	5	Learned a lot	"""Well informed, videos up to date, need a little more hands on but all questions were answered thoroughly."""	https://americanaed.com/
120	QuaintBat-32922	11/01/2021	2	Disappointed	"""Was disappointed to learn there was a better deal on the unit I purchased two days after I placed my order."""	https://americanaed.com/
121	BusyOstrich-82501	10/26/2021	5	Great pricing	"""The Zoll AED Plus fully automated is a great device and the timeliness of the shipment from American AED was wonderful.

We love that we can get everything we needed in one package (well 2 boxes)."""	https://americanaed.com/
122	JoyousDinosaur-64499	10/25/2021	5		"""Best price I could find and shipping was quick."""	https://americanaed.com/
123	CarefulOwl-34506	10/21/2021	5	great service	"""Great customer service Jenny was ver helpfully and courteous.  Would buy again in a beat."""	https://americanaed.com/
124	implantationdentistry	10/20/2021	5	Excellent	"""Excellent service fast and the best price"""	https://americanaed.com/
125	CalmGazelle-63197	10/20/2021	5	no hassle company	"""Their website was easy to use and made it easy to side by side check the models we where looking to potentially purchase."""	https://americanaed.com/
126	CleverRhinoceros-5509	10/12/2021	3	Does not deliver to PO Boxes	"""The order allowed me to enter a PO Box and then after waiting quite awhile, I called the company and they told me they don't deliver to PO Boxes - but they never informed me of that!  I work at a church that is  only open 2 days a week, so they suggested that I have the order delivered to my home, which I did. A bit annoying!"""	https://americanaed.com/
127	a_congram	09/16/2021	5	Winning Price, Excellent Experience	"""Shopped extensively for a recertified AED.   I determined the ""field"" of recertified AEDs is fairly limited - with several vendors offering a similar suite of products.   So a lot of the selection process came down to total delivered price (and of course the desired features).   I believe that American AED gave me the best overall value.   A rugged nylon case gave them the edge, along with a ""percent off"" special offer.   The AED I chose was the DefibTech Lifeline View - which provides very clear video-screen instructions along with good audio.   This is a preferred model for use at our church.

The purchasing experience with American AED was excellent.   Prompt delivery and no surprises."""	https://americanaed.com/
128	gracechapel	09/10/2021	3	GraceChapel	"""Great prices, but the AED being ordered was on back order for at least a month....."""	https://americanaed.com/
129	alan-4827	09/08/2021	5	Easy as easy	"""Found item quickly and ordered with no problems. Was easy"""	https://americanaed.com/
130	mameyers1	09/08/2021	5	Satisfied	"""Merchandise arrived in perfect condition. Great customer service."""	https://americanaed.com/
131	CalmAntelope-34145	09/08/2021	3	We'll know when we use	"""Our product arrived in a timely manner and in good condition.
We have not had an incident where we've needed to use it, so don't know of its efficacy yet.
Thanks for checking"""	https://americanaed.com/
132	TameChameleon-93277	09/08/2021	5	Great product for the price. 	"""It was good.  Customer service excellent."""	https://americanaed.com/
133	TameFalcon-55720	09/08/2021	5	Awesome 	"""Great fast service and we received everything as promised!"""	https://americanaed.com/
134	mjohnson-94424	09/08/2021	5	AED purchase	"""Easy to use website, fair pricing, and excellent delivery time."""	https://americanaed.com/
135	OpenRobin-83070	09/08/2021	5	Fast & like new	"""Received my order quickly & it appears to be in “like new “ condition"""	https://americanaed.com/
136	FriendlyPiranha-12249	09/08/2021	5	Great Service	"""I called customer service to purchase new pads for our machine. It was a very smooth process and to top it off, I received my order 2 days sooner then expected."""	https://americanaed.com/
137	crashcartrn	09/08/2021	5	Great product  	"""Product arrived earlier than anticipated and included everything as described.  Very happy with purchase."""	https://americanaed.com/
138	KindTiger-62179	09/08/2021	5	THE easiest part is USING THE DEVICE!	"""So intuitively designed, simple and straightforward"""	https://americanaed.com/
139	MotownCruiser	09/08/2021	5	Exactly what I wanted & needed	"""I always safe 'better safe than sorry' and 'be prepared'.  By ordering an AED from American AED our home and family should be protected from certain emergencies."""	https://americanaed.com/
140	SomewhereInNJ	09/08/2021	5	Delivered as advertised - quick & easy	"""The way it's supposed to happen - quick - as advertised and no nonsense!"""	https://americanaed.com/
141	Ctpx7	09/08/2021	5	Everything I asked for	"""Needed an AED for my gym. It arrived quickly and in great shape. It now is displayed and ready in case it is needed."""	https://americanaed.com/
142	Calfirechief1	08/29/2021	5	Quality Product and Packaging, fast delivery. 	"""I received my order quickly. The product was packaged well. The AED came with the expected battery life and in-service date. Phillips AED is a quality product. I would buy again from this supplier. Reasonable price."""	https://americanaed.com/
143	SleepyOtter-16315	08/27/2021	1	Review before product ships	"""Ask to review before product shipped, only to find out item was back ordered."""	https://americanaed.com/
144	CleanCrow-81511cm	08/26/2021	5	Quick, accurate service	"""I placed an online order and received the merchandise, as ordered, within a week."""	https://americanaed.com/
145	FoolishLizard-67040	08/25/2021	5	Great Customer Service	"""The team was excellent and got us our new equipment very quickly! I will be using them again in the future!"""	https://americanaed.com/
146	StormyAmphibian-68875	08/25/2021	5	Great service	"""Had a shipping issue and American AED immediately resolved it. Would order again"""	https://americanaed.com/
147	KindCat-27434	08/25/2021	5	Fast Delivery!!!	"""Fastest delivery since pre covid! Ordering is easy customer service is spectacular. Will be doing business with them again!"""	https://americanaed.com/
148	AKIGT	08/24/2021	5	Excellent Service	"""I done a lot of research on purchasing an AED for our facility.  The cost was significantly better than other sites and the site was very user friendly.  I received the device on time and in great shape (refurbished)."""	https://americanaed.com/
149	stmatts	08/23/2021	5	As advertised 	"""No complaints.   Delivered on time"""	https://americanaed.com/
