reviewId	reviewer	reviewerLocation	datePublished	starRatingOutOfFive	reviewTitle	reviewComment	product	source
24	Anonymous Person 	 Huntersville, NC United States	12/05/2023	5	Excellent	Best price! Even got free case. Will start using it after my first cardiology appointment. Friend has it and finds it very very useful. I'm sure I will too.	KardiaMobile EKG Monitor [Original-Single Lead] by AliveCor	https://www.concordhealthsupply.com/
25	Marianna Evans 	 Massillon, OH United States	12/05/2023	2	Battery Cover	The product works but the battery cover will not snap shut as the video shows therefore the battery will not stay in the compartment. I have sent 2 messages by video chat & have not received an answer. Not very happy. Will be sending back.	KardiaMobile EKG Monitor [Original-Single Lead] by AliveCor	https://www.concordhealthsupply.com/
26	Anonymous Person 	 Hampton, GA United States	12/05/2023	5	Collie	I am very happy with the KardiaMobile EKG heartMonitor.  I found it easy to understand and operate.	KardiaMobile EKG Monitor [Original-Single Lead] by AliveCor	https://www.concordhealthsupply.com/
27	Diane Adams 	 College Place, WA United States	12/05/2023	5	Easy to use	I anticipated having a difficult time installing the software and understanding how to use this product as I am so not techy. But it was simple and  easy to use. The item arrived very quickly and product is exactly as promised. I highly recommend this product and the Concord Health Supply.	KardiaMobile EKG Monitor [Original-Single Lead] by AliveCor	https://www.concordhealthsupply.com/
28	Jeffrey Howard 	 Wilmington, NC United States	12/05/2023	5	Awesome Product	It took me about 5 minutes to download the app and set up an account. I sat down and within 2 more minutes had the EKG printed out on my phone. I have a history of Afib, so this device will immediately let me know if I am in sinus rhythm or Afib.  Pretty cheap health insurance!	KardiaMobile EKG Monitor [Original-Single Lead] by AliveCor	https://www.concordhealthsupply.com/
29	Donald Gibb 	 West Chicgo, IL United States	10/31/2023	5	As advertised	Somewhat difficult to set up but finally did so. works as intended.	KardiaMobile EKG Monitor [Original-Single Lead] by AliveCor	https://www.concordhealthsupply.com/
30	Darlene Bergman 	 Crest Hill, IL United States	10/30/2023	5		Works very well. Brings me peace of mind.	KardiaMobile EKG Monitor [Original-Single Lead] by AliveCor	https://www.concordhealthsupply.com/
31	Anonymous Person 	 Albuquerque, NM United States	10/24/2023	5	KardiamobileEKG MONITOR	Just received and have only used couple times but it seems to work just fine. I am pleased with it.	KardiaMobile EKG Monitor [Original-Single Lead] by AliveCor	https://www.concordhealthsupply.com/
32	Richard Bertuola 	 McAdoo, PA United States	10/17/2023	5			KardiaMobile EKG Monitor [Original-Single Lead] by AliveCor	https://www.concordhealthsupply.com/
33	Anonymous Person 	 Highlands Ranch, CO United States	10/10/2023	5	Recommend	Delivered quickly as described.  Works well, easy to set up account on app..  Pleased with this product.	KardiaMobile EKG Monitor [Original-Single Lead] by AliveCor	https://www.concordhealthsupply.com/
34	Randy 	 Jefferson, GA United States	08/05/2023	5	Works well, quick shipping	This item shipped quickly, works well.	KardiaMobile EKG Monitor [Original-Single Lead] by AliveCor	https://www.concordhealthsupply.com/
35	Beverly Gromelski Gromelski 	 Burgess, VA United States	07/24/2023	5	Kardia is an excellent product which provides		KardiaMobile EKG Monitor [Original-Single Lead] by AliveCor	https://www.concordhealthsupply.com/
36	Charles Walker 	 Smyrna, TN United States	07/18/2023	4	KardiaMobile	App was a little difficult to download, but that  was probably me! Product seems to function as advertised.  I certainly hope the results are correct, since I have    had some issues and tests on my heart. This gives me a little peace of mind.	KardiaMobile EKG Monitor [Original-Single Lead] by AliveCor	https://www.concordhealthsupply.com/
37	David Rucker 	 Greenwood, SC United States	06/30/2023	5	Kardiamobile	The item was received in excellent condition and worked perfectly.  It is exactly what I need to monitor my heart health.	KardiaMobile EKG Monitor [Original-Single Lead] by AliveCor	https://www.concordhealthsupply.com/
38	J Guy 	 Columbus, OH United States	06/15/2023	5	KardiaMobile monitor (Original-Single Lead by Aliv	I have had a Kardia for many years, perhaps one of the first offering. So when mine got wet we got this new & improved model (& for less than we paid for the old one!)It does provide a variety of new functions etc. As a retired physician & nurse we find it helpful to evaluate our symptoms .	KardiaMobile EKG Monitor [Original-Single Lead] by AliveCor	https://www.concordhealthsupply.com/
39	Cheryl Powers 	 Fishers, IN United States	06/12/2023	5	EKG monitor	Easy ordering process - quality product	KardiaMobile EKG Monitor [Original-Single Lead] by AliveCor	https://www.concordhealthsupply.com/
40	Nancie Jones 	 Menasha, WI United States	05/29/2023	5	Product KardiaMobile EKG Monitor [Original-Single	After ordering a similar brand monitor from another company which did not charge up and had to be returned I was skeptical trying again, but right out of the box the product worked great and was easy to set up!	KardiaMobile EKG Monitor [Original-Single Lead] by AliveCor	https://www.concordhealthsupply.com/
41	William Caput 	 Augusta, GA United States	05/17/2023	5	Purchase of the Kardia Mobile EKG	I personally called the company and thanked an individual who spoke with me on the phone for the speed of the purchase and arrival.  Very professional.  Very pleased  with the product.Dr. C	KardiaMobile EKG Monitor [Original-Single Lead] by AliveCor	https://www.concordhealthsupply.com/
42	Douglas Anderson 	 Pawleys Island, SC United States	05/12/2023	5	Kardia Mobile purchase	Product arrived 3 days after my order and works as expected.	KardiaMobile EKG Monitor [Original-Single Lead] by AliveCor	https://www.concordhealthsupply.com/
43	Rebecca Bouldin 	 Columbus, OH United States	04/24/2023	5	Kardio mobile	Now that the device is connected to my cell  phone , it works well.  The small flyer included in package makes it look easy to connect. It was not. At one point I was asked  to spend $99 . I am pleased now that it is all working smoothly.	KardiaMobile EKG Monitor [Original-Single Lead] by AliveCor	https://www.concordhealthsupply.com/
44	Darcy Hall 	 Bradenton, FL United States	04/24/2023	5	Healthy Happy Heart	KardiaMobile worked exactly as portrayed on the commercial. My heart is beating as it should. Thanks!	KardiaMobile EKG Monitor [Original-Single Lead] by AliveCor	https://www.concordhealthsupply.com/
45	Linda Grover 	 Fremont, OH United States	04/07/2023	5	KardiaMobile	This is pretty slick.  Gives a nice rhythm strip.	KardiaMobile EKG Monitor [Original-Single Lead] by AliveCor	https://www.concordhealthsupply.com/
46	Mark Strauss 	 PENSACOLA, FL United States	03/27/2023	3		Easy to use. Ventricular complexes were clear but the tracing was wavy. P waves were not visible. The rhythm was regular and the occasional PVC was obvious.	KardiaMobile EKG Monitor [Original-Single Lead] by AliveCor	https://www.concordhealthsupply.com/
47	Eileen T Lundy 	 West Lake Hills, TX United States	03/17/2023	5	Kardia Mobile	I am now using the Kardia Mobile and so far it is performing well.	KardiaMobile EKG Monitor [Original-Single Lead] by AliveCor	https://www.concordhealthsupply.com/
48	katfour 	 Sykesville, PA United States	03/15/2023	5	KardiaMobile EKG Heart Monitor	I am very pleased to have this product.  It is easy to use and install on my iphone.  I believe it will keep me feeling safe and secure keeping ahead of a stroke or heart attack  It only takes 30 seconds to run the EKG and I have results on my phone.	KardiaMobile EKG Monitor [Original-Single Lead] by AliveCor	https://www.concordhealthsupply.com/
49	Pernell Benjamin 	 Capitol Hgts, MD United States	03/13/2023	5	Kardia Mobile	Excellent product and will tell others about also quick shipment as well ,love it	KardiaMobile EKG Monitor [Original-Single Lead] by AliveCor	https://www.concordhealthsupply.com/
50	Michael Hayes 	 Mountain Home, AR United States	03/02/2023	5	KardiaMobile	I've only used it once, but I like the way it works! So far so good.	KardiaMobile EKG Monitor [Original-Single Lead] by AliveCor	https://www.concordhealthsupply.com/
51	John Deiure 	 Rochester, NY United States	02/17/2023	5		Very good price and quick turnaround.	KardiaMobile EKG Monitor [Original-Single Lead] by AliveCor	https://www.concordhealthsupply.com/
52	Heart to Heart		02/10/2023	5	Love it	My husband and I love this handy cardio checker that we can use anytime. ItÃ¢â‚¬â„¢s cool to see our EKG and the indicator on what the result is (as we donÃ¢â‚¬â„¢t really know.)  My husband just went in for a minor surgery and we asked doctor if we could skip the EKG because we have a high deductible plan and would have to pay extra for that before being under anesthesia. The doctor agreed it would be fine because of husbandÃ¢â‚¬â„¢s good health. In the meantime, I bought this device and it verified to us and the doctorÃ¢â‚¬â„¢s nurse that his  EKG was normal and healthy for surgery.  As we age, it will be handy.  I plan to get one for my sister so she can share with her husband, both approaching age 70.	KardiaMobile EKG Monitor [Original-Single Lead] by AliveCor	https://www.concordhealthsupply.com/
53	Joyce Bachulski 	 West Chester, PA United States	02/09/2023	5			KardiaMobile EKG Monitor [Original-Single Lead] by AliveCor	https://www.concordhealthsupply.com/
54	Jeffrey Wike 	 Reading, PA United States	01/31/2023	5	EKG monitor	Very reasonable price, fast shipping. Worked with my Android phone even though model not listed on compatibles.	KardiaMobile EKG Monitor [Original-Single Lead] by AliveCor	https://www.concordhealthsupply.com/
55	jPod 	 Westchester County, NY United States	01/28/2023	5	Great instant heart monitor	Easy to use requiring no leads to generate reports on how the heat is functioning -- normal sinus rhythm or possible atrial fibrillation. Concord Health Supply shipped same day.	KardiaMobile EKG Monitor [Original-Single Lead] by AliveCor	https://www.concordhealthsupply.com/
56	Mark Martini 	 Rohnert Park, CA United States	01/20/2023	5	A +	Amazing technology .Instant EKG on your own deviceI'm very impressed	KardiaMobile EKG Monitor [Original-Single Lead] by AliveCor	https://www.concordhealthsupply.com/
57	Allen Hischke 	 Craig, CO United States	01/12/2023	4	Not bad	It was very easy to purchase the Kardio, but I found the setup lacking instructions.  There is a part that came with mine that I really have no idea what it is for, because it was not mentioned in the setup.  I also had issues getting mine connected to the app, again because the instruction were lacking.Other than this, I am happy with it so far.	KardiaMobile EKG Monitor [Original-Single Lead] by AliveCor	https://www.concordhealthsupply.com/
58	Wanda Criblez 	 Bluffton, OH United States	01/12/2023	5	Works very well	I was happy to receive my KardiaMobile Ekg Monitor.  I tried it and it works as advertised.  Both of my parents had atrial fib and I have been concerned about that possibility for me.  I have many EKG's with no problems, but I just want to keep on top of it.	KardiaMobile EKG Monitor [Original-Single Lead] by AliveCor	https://www.concordhealthsupply.com/
59	Sarah Housewright 	 Eaton, OH United States	01/12/2023	5	Great experience	Very fast delivery and product is just as described.	KardiaMobile EKG Monitor [Original-Single Lead] by AliveCor	https://www.concordhealthsupply.com/
60	Douglas Groff 	 Egg Harbor Township, NJ United States	01/03/2023	5			KardiaMobile EKG Monitor [Original-Single Lead] by AliveCor	https://www.concordhealthsupply.com/
61	Edwina Propster 	 Jacksonville, FL United States	12/29/2022	5	every one glad	The KardiaMobile EKG Monitor [Original-Single Lead] by AliveCor  was received well by my family.	KardiaMobile EKG Monitor [Original-Single Lead] by AliveCor	https://www.concordhealthsupply.com/
62	Susan SIMONTON 	 Cartersville, GA United States	12/28/2022	4	just arrived today	we just got this but have itregistered and have done a trial EKG.  tried to order the service but could not navigate the credit card page.	KardiaMobile EKG Monitor [Original-Single Lead] by AliveCor	https://www.concordhealthsupply.com/
63	Anonymous Person 	 Freeland, MI United States	12/28/2022	5		Monitor arrived very quickly in good condition. A small mishap by me required attention and was quickly resolved by KT and John at Customer Service!Unit is easy to set up and use. Got excellent results on first try! Strongly recommend this product!	KardiaMobile EKG Monitor [Original-Single Lead] by AliveCor	https://www.concordhealthsupply.com/
64	Anonymous Person		12/23/2022	5	kardia mobile heart monitor	The monitor arrived quickly after ordering, andit was so easy to use.    It will certainly be helpful in checking  to see if  my heart is in afib as sometimes, in my case, the only symptom is I just feel really tired.   Now I can know for sure if  afib is the cause.	KardiaMobile EKG Monitor [Original-Single Lead] by AliveCor	https://www.concordhealthsupply.com/
65	William Parks 	 Nebo, NC United States	12/23/2022	5	KardiaMobile EKG monitor by AliveCor	I was surprised in two days my unit arrived  during Christmas.  Works well and easy to use. Highly recommend if you had a fib before .  Feel more relieved knowing it is in rhythm seen right on the phone.  Recommend the carrying case also.	KardiaMobile EKG Monitor [Original-Single Lead] by AliveCor	https://www.concordhealthsupply.com/
66	gail cratty 	 Gulfport, MS United States	12/23/2022	4	EKG	Does what it says	KardiaMobile EKG Monitor [Original-Single Lead] by AliveCor	https://www.concordhealthsupply.com/
67	Terry Taylor 	 Lake Stevens , WA United States	12/22/2022	5	My Kardia mobile device	I recently purchased the device and after reading the manual it was easy to use the device.	KardiaMobile EKG Monitor [Original-Single Lead] by AliveCor	https://www.concordhealthsupply.com/
68	Robert Wyatt 	 Orange, TX United States	12/22/2022	5	KardiaMobile	It works as I thought it would. It's great to know that I can watch what my heart does without having to pay a high price to do it.	KardiaMobile EKG Monitor [Original-Single Lead] by AliveCor	https://www.concordhealthsupply.com/
69	Anthony Papouschek 	 Chambersburg, PA United States	12/06/2022	5	Kardia Mobile EKG monitor	Just what I wanted and expected and order , transit and delivery was also what is expected. Good job !!	KardiaMobile EKG Monitor [Original-Single Lead] by AliveCor	https://www.concordhealthsupply.com/
70	Anonymous Person 	 Suffern, NY United States	11/09/2022	5	KardiaMobileEKG Monitor Single Lead	Seems to work fine, have used it a few times since I received it. It was easy to set up and to use.Cardiologist recommended it to me sine I have been having palpitations.	KardiaMobile EKG Monitor [Original-Single Lead] by AliveCor	https://www.concordhealthsupply.com/
71	Jesus Gonzalez 	 Banks, OR United States	11/04/2022	4	EKG	Hi; my Kardia monitor arrived on time and in good condition. I have started to use it , but I have had problems to transfer the information to my doctor's office .	KardiaMobile EKG Monitor [Original-Single Lead] by AliveCor	https://www.concordhealthsupply.com/
72	James Krawczyk 	 Lisbon, WI United States	10/26/2022	4	KardiaMobile Monitor	So far, I am completely satisfied with the monitor. App was easy to install on my Galaxy S 9 and the monitor worked well.	KardiaMobile EKG Monitor [Original-Single Lead] by AliveCor	https://www.concordhealthsupply.com/
73	JESSE THURLOW 	 Kingsville, MD United States	10/24/2022	5	KardiaMobile EKG Monitor	I had an episode of possible Atrial Fibrillation (A Fib), so I bought this to monitor any recurrences. The A Fib was most likely induced by a statin I just started. The doc said most likely not the statin and directed me to resume it. I am a week now just getting over the allergic reaction to the statin. My lucky stars A Fib was not in the reaction mix. Comforting was having the KardiaMobile EKG Monitor to monitor my heart. The second day I received it I progressed from basic monitoring to the more extensive yearly plan to include Sinus rhythm studies. This device will not detect heart attacks, but with careful monitoring I was able to suffer through significant episodes of chest pain caused by reaction to the statin that were muscle/nerve related without summoning 911 or taking a trip to the ER.  Disclaimer: I have been a physical therapist for  46 years, so I have a strong understanding of the body and its response to pain.  If you have chest pain you do not understand-call 911.	KardiaMobile EKG Monitor [Original-Single Lead] by AliveCor	https://www.concordhealthsupply.com/
74	Faye Cobb 	 Bastrop, TX United States	10/17/2022	5	new monitor	easy to use. stores info for records.	KardiaMobile EKG Monitor [Original-Single Lead] by AliveCor	https://www.concordhealthsupply.com/
75	Julie G. 	 Lynchburg, VA United States	09/29/2022	5	Peace of Mind	A renowned cardiologist suggested I purchase this KardiaMobile EKG Monitor and I am so impressed with the technology and ease of use.  Great peace of mind!!	KardiaMobile EKG Monitor [Original-Single Lead] by AliveCor	https://www.concordhealthsupply.com/
76	Leo Collignon 	 South San Francisco, CA United States	09/27/2022	5	Set up and use	Very easy to get set up and use. Even the file download worked perfectly, I'm not very tech savvy. Great product, very impressed.	KardiaMobile EKG Monitor [Original-Single Lead] by AliveCor	https://www.concordhealthsupply.com/
77	Cathy Moore 	 Raymond, MS United States	09/21/2022	5	Doctor recommended	My doctor recommended a certain model that I could not get from a major seller. I was so pleased to find it on your site. The price was good too!	KardiaMobile EKG Monitor [Original-Single Lead] by AliveCor	https://www.concordhealthsupply.com/
78	Amantino de Freitas 	 Santa Barbara, CA United States	09/19/2022	5	KardiaMobile EKG Monitor by Alivecor	Excelent performance. My cardiologist is happy; I am very happy.	KardiaMobile EKG Monitor [Original-Single Lead] by AliveCor	https://www.concordhealthsupply.com/
79	LV Tennison 	 Granbury, TX United States	09/15/2022	5	Easy operation	Good quality and easy instillation.	KardiaMobile EKG Monitor [Original-Single Lead] by AliveCor	https://www.concordhealthsupply.com/
80	Patrick Salow 	 Stockbridge, MI United States	09/13/2022	5		Excellent device.	KardiaMobile EKG Monitor [Original-Single Lead] by AliveCor	https://www.concordhealthsupply.com/
81	Paul Stephens 	 Niskayuna, NY United States	09/07/2022	3	kardia mobile	instructions are skimpy	KardiaMobile EKG Monitor [Original-Single Lead] by AliveCor	https://www.concordhealthsupply.com/
82	Anonymous Person		09/01/2022	4	Nice...!!!	The KardiaMobile is awesome - nice gizmo!!	KardiaMobile EKG Monitor [Original-Single Lead] by AliveCor	https://www.concordhealthsupply.com/
83	Amelia Bowers 	 Toney, AL United States	08/30/2022	5	Great product	My cardiologist recommended I get a Kardia so I could record my EKG whenever I felt a flutter so we would be able to determine over time how often my afib was happening. It was super easy to get started and it worked just like it is supposed too.	KardiaMobile EKG Monitor [Original-Single Lead] by AliveCor	https://www.concordhealthsupply.com/
84	David Neff 	 Charleston, SC United States	08/27/2022	5		The above EKG was ordered and arrived in a timely fashion.  Instructions were very helpful. Thank you!	KardiaMobile EKG Monitor [Original-Single Lead] by AliveCor	https://www.concordhealthsupply.com/
85	Anonymous Person 	 New Britain, CT United States	08/25/2022	5			KardiaMobile EKG Monitor [Original-Single Lead] by AliveCor	https://www.concordhealthsupply.com/
86	C B 	 FL United States	08/24/2022	5	Kardia mobile	Recommended by our cardiologist so we ordered this mobile device for recording an EKG. It arrived quickly and has been very helpful. Love the fact that you can record anytime and share it to our inner circle, most importantly our cardiologist.	KardiaMobile EKG Monitor [Original-Single Lead] by AliveCor	https://www.concordhealthsupply.com/
87	Glenn Williams 	 Portsmouth, RI United States	08/23/2022	5	Kardia mobile purchase	It works as advertised	KardiaMobile EKG Monitor [Original-Single Lead] by AliveCor	https://www.concordhealthsupply.com/
88	Guy Erdman 	 Forrestville , CA United States	08/22/2022	3		Sometimes it will register great connectivity and then at the end of the 30 seconds say there was interference and it can't give a reading. It has done this numerous times. this is quite frustrating because there is no way to tell how to correct it. I've tried dampening and cleanning the pads and this doesn't work.	KardiaMobile EKG Monitor [Original-Single Lead] by AliveCor	https://www.concordhealthsupply.com/
89	Virginia C 	 UT United States	08/22/2022	4	Kardia Mobile	"My doctor suggested I get a smart watch or Kardia Mobile. The watches were pricey so I opted for the KM. It has taken me about 3 days to get a reading as my phone isn't compatible but my tablet is. Also, there are only 3 rhythms it shows. Mine shows "" normal sinus rhythm"" (which is great) or ""unclassified."" If I'm reading and understanding what ""unclassified"" means I should purchase the other 3 rythmns for a monthly fee or yearly fee. It's good for showing if you do or do not  have a problem with afib. I don't regret getting it."	KardiaMobile EKG Monitor [Original-Single Lead] by AliveCor	https://www.concordhealthsupply.com/
90	Bryan 	 Burlington ontario Canada	08/21/2022	5	Debit not accepted by kardia	I tried to get full coverage for all heart arrhythmias but they only take credit cards. Why don't  they allow debit or google pay for people that aren't  dumb enough to have credit cards? The only heart problem it detects is Afib without full coverage.	KardiaMobile EKG Monitor [Original-Single Lead] by AliveCor	https://www.concordhealthsupply.com/
91	Jennifer Grace 	 Salem, OR United States	08/17/2022	5	KardiaMobile EKG Monitor	I just received my monitor yesterday.  I was extremely easy to install and set up on my iPhone.  I have used it twice today.  Works great and I suggested this to my grown children.	KardiaMobile EKG Monitor [Original-Single Lead] by AliveCor	https://www.concordhealthsupply.com/
92	Joe Haddad 	 Sanbornton, NH United States	08/17/2022	5			KardiaMobile EKG Monitor [Original-Single Lead] by AliveCor	https://www.concordhealthsupply.com/
93	JUDY KELLEY 	 Amarillo, TX United States	08/08/2022	5	My personal feel good purchase!	Quick delivery time! Easy to set up and easy to use! Price was right!	KardiaMobile EKG Monitor [Original-Single Lead] by AliveCor	https://www.concordhealthsupply.com/
94	Bernard Drayton 	 Brooklyn, NY United States	06/25/2022	5			KardiaMobile EKG Monitor [Original-Single Lead] by AliveCor	https://www.concordhealthsupply.com/
95	Robert Parker 	 Lawton, OK United States	06/24/2022	5	KardiaMobile	Very happy with the product, easy to use and set up	KardiaMobile EKG Monitor [Original-Single Lead] by AliveCor	https://www.concordhealthsupply.com/
96	JUdy Martin 	 Oak Grove, MO United States	06/14/2022	5		So far so good.	KardiaMobile EKG Monitor [Original-Single Lead] by AliveCor	https://www.concordhealthsupply.com/
